CVEO Extremely bearish one,Bearish
FB The Gordon Ghetto Show Rolls Card Stay tuned Gordon Gekko Bounce Instagram M plus Oculus China Exp,Bullish
CUR BCLI looking like juicy buy going Monday,Bullish
UGAZ httpstkscodRC,Bullish
TWTR Happy New Years all,Bullish
VSLR This company growing fast Jumped ENPH gobbled baby Sit buy dips yah know it,Bullish
Its time year Top Picks WEFca PHMca amp DAPuca,Bullish
FB ER beat good guidance earnings beat bad guidance,Bullish
GPRE Anyone catch K Mar C block trade M value,Bullish
Top picks pretty good last year WEFca CPHca amp AYAca Lets hope years batch well,Bullish
UGAZ Reversal isnt even close yet Ill let know,Bearish
WHZ Hoping stays low I put IRA come,Bullish
CNBC Top trades FastMoney TIF AAPL TGT TWTR BIDU WYNN IBM EOG APC httpstkscoaR httpstkscojVy,Bullish
FB Inflection point breached Still uptrend We Ghetto Trade show Stay tuned Gekko Trade show mil sell,Bullish
UGAZ If think going week idiot,Bearish
UGAZ Still longs way go reversal,Bearish
FB million volume today heavy selling held level Gekko Trade show going Bounce next week,Bullish
AAPL ARWR TSLA BABA Wish everyone happy new year keep counting fast money,Bullish
PAL Have A Happy Healthy Wealthy Green New Year including TAR,Bullish
Dear STWIT Dream big See real Stick Finding next httpstkscobRu Happy,Bullish
UGAZ Should open ,Bearish
AAPL Met hedge fund manager DC today playing ball said AAPL favorite opportunity He liked options play,Bullish
FB Inside days happen retraction happens sadly bears oversold hand bears gun Watch hard boun,Bullish
GLUU Can ever bad market day Everyone doesnt need freak goes day lot stocks,Bullish
GRPN Happy trails Im good sides fence THAT investortrader fence,Bullish
FB Instagram million growing Expansion China NFL AD Rev FB Search So what REVENUE Generation thats,Bullish
Top searched stocks AAPL FB BABA TSLA BAC GOOG INTC GE TWTR AMZN httpstkscobRy httpstkscocRAV,Bullish
SPY DIA COMPQ best luck traders,Bullish
UWTI In Gas Station Spring drink water G gasoline G,Bullish
stephanjk The USDX UUP price targets Youre spewing typical gold bug nonsense httpstkscoeRGD,Bullish
ZNGA BCLI release phase Monday Jan It blow ya face upside potential one day,Bullish
SPY IWM QQQ New Years resolution follow Winners STshad decent yearbut could much betterHappy NY,Bullish
UVXY Buy puts,Bearish
quotWallStJesus IWM btw snuck bell looks like buyer Feb puts quotThey burned k,Bullish
article July quot AirWatch recently teamed Sonyquot httpstkscojV I bet wish would chosen bbry,Bullish
IBIO amp MNGA close penny other What going on,Bullish
VIPS Property overhanging In China benefit money flow stocks according David fast money,Bullish
WarEagleStox War Eagle Youd think us Auburn engineers would smarter invest crappy stocks like NQ,Bullish
Take BULL horns let RIDE Happy New Year TimesSquare SBUX PCLN SPY httpstkscotDpy httpstkscotDpz,Bullish
AAPL happy new year fellow longs January make us happy And February plain silly Cheers folks,Bullish
Swing Buy Picks AMAT CME ELX KMX LNKD NOC ORCL PAY PNC POTCA RMD httpstkscojVD,Bullish
Swing Sell Picks FMCA PCA REN httpstkscogVZ,Bearish
WFM holding Jan putsOI around k,Bearish
THM Feel good picked couple thousand shares day,Bullish
CVEO This going crash Friday,Bearish
KNDI The reason KNDI big China Happy New Year httpstkscodRZ,Bullish
UGAZ Look lead storyhttpstkscoeRGL,Bullish
ARWR INO IDRA One stocks gain least x Your bet Best luck happy new year everyone,Bullish
StupidGains Hephaestus How think Jefferson marches likes born people clamor GLUU sale happen,Bullish
USDJPY BEARISH NAT PATTERNQ httpstkscoeRGQ httpstkscobRAA,Bearish
AAPL So everyone ur money ready Friday BTFD LOAD UPPP,Bullish
PLUG analyst ratings last days Median target upside View here httpstkscobRAB,Bullish
quotEuphoria RSH headed home new robot trunk RadioShack quot Stay robot amp forget pain RSH rest life,Bearish
Gbones Ur Great Trader amp solidify it UGAZ Timeframe powder flexible Well bank hard Bones,Bullish
GCF GLD GDX GDXJ In opinion gold sitting long lower support A move imminent httpstkscofVBH,Bearish
IBIO ANV LAKE APT Happy New Year May bring love peace joy enormous brokerage account,Bullish
BBEP LF CVEO FSLR SAFM EW CAMP COH KORS AMBA AVAV PACB Happy investing happy new year lets welcome new year gains,Bullish
IMRS httpstkscoeRGY \xe2\x80\xa6will give newbies information company\xe2\x80\xa6good interview CEOwatch u time,Bullish
Prediction After yr s SBUX next stock following execution new initiatives Dont bet Schultz,Bullish
EGRX MGNX FMI SGEN ARRY want em,Bullish
BBRY Team Canadann,Bullish
AAPL Just dropped phone fire Damn still works screen little messed,Bullish
SPX httpstkscogVg Wave cgt truncated th FAT CATS quotTIMEquot play next week httpstkscoqDhN,Bullish
Sliver SLV GLD GDX Do write sweet hype tweets notebook Theyre powerful,Bullish
SLV Sliver You bullish,Bullish
Prediction quotPricing warsquotin biotech space doesnt prevent sector another great year IBB BIB GILD CELG REGN ISIS BIIB,Bullish
Prediction Energy stocks oilampgas rebound leading sector upside oil back year end XLE BP SLB OXY,Bullish
SLV GLD Sliver Thanks trade idea I bot March gold April silver calls,Bullish
SGOC nice buyout aiming gap Friday morning,Bullish
Prediction Not signing Kevin Durant doesnt prevent UA signing huge NBA star longterm sponsorship sneaker deal,Bullish
NQ Let buyback begin How buy less When its,Bullish
ZGNX Make Break year guys would like see dip add shares Got faith,Bullish
UGAZ natty saleand im gonna keep buying,Bullish
MNKD Been bear long however seems like its time buy pt Good luck happy new year,Bullish
RXII Happy new year all,Bullish
Investment Themes I continue like quickserve restaurants lower gas confident consumer huge tailwind PNRA BWLD CMG,Bullish
SBUX,Bullish
Investment Themes Be selective exposure oilampgas sector BP SLB COP RDSA KMI OXY,Bullish
BABA go green Monday easily,Bullish
CVEO This going POP Friday,Bullish
RXII better show company updates like Retinoblastoma mac degeneration along new scar data,Bullish
KKR httpstkscosDYu Big pay Walgreen,Bullish
Please dont exposed long positions going January Unless truly LT wont spooked selling SPY qqq IWM,Bearish
Investment Themes The american consumer confident AAPL V PAY MA AXP UA M TJXC PVH GIII DIS,Bullish
thrfty OleJoeClark FrothDog quite bit PLUG hits high pps I happy man complaints,Bullish
EYES Implant retina size grain salt explode like payperclicks No Trek Mt Everest peak day Ahh No,Bullish
UGAZ DGAZ Happy New Year NG traders httpstkscogVo,Bullish
quotAlwaysNeedHelp TWTR Anyone else see bought GOOG YHOO quot,Bullish
RELION energy PLUG power company partners hoppecketoday largest manufacturer industrial batteries world,Bullish
AAPL TSLA GILD CELG BABA SCTY RIG WFM BA HAPPY NEW YEAR ALL BULLS BEARS,Bullish
UGAZ Get This isnt controlled govt Its strictly OVER PRODUCTION Weather means nothing NG going,Bearish
ACHN nicely AH looking breakout next week,Bullish
crme long grenade news blows Should matter time blast Base proper Like Titos n diet ICETEA,Bullish
CVEO def going Friday Our prediction software alerted users correctly similar stock BCLI today httpstkscoeRGf,Bullish
AAPL To military service members overseas may new year bring home safe loved ones Go AAPL,Bullish
ZNGA Happy New Years strong zynga longs May year green,Bullish
FSLR Shorting going long SCTY Going momentum strength,Bearish
LGF Bought hope mistake GLL,Bullish
ZNGA When last time saw two zynga games top free games chart Pretty Damn long httpstkscosDZ,Bullish
CSIQ This I talking folks httpstkscojVX,Bullish
SLB Closed bought puts Close confirms DT amp needs happen next days Im wrong amp close position,Bearish
GLD Happy new year degenerate compulsive gambler friends May gold shine FML,Bullish
FEYE everyone looking invest cyber security Avoid crowd stay short year retail cheap gas,Bearish
JBLU insider selling big deal Right new year Tax move imo,Bullish
AAPL Happy New Year Bulls That acct everyone since I know Bears really cheap Bulls,Bullish
VA Happy New Year VA show us s,Bullish
Freakin Bears always tryin pick fresh set aapl shares less grand,Bullish
COOL time go,Bearish
VHC Will rock HNY long timers,Bullish
CSIQ pick bldg Ontario httpstkscodRs,Bullish
CVEO Anyone wants slap friday I triple dog dare,Bullish
quotSanvisor AAPL To military service members overseas may new year bring home safe loved ones Go AAPLquot,Bullish
AAPL year TIm Cooks empire fall sorry TC cannot innovate need new CEO Apple,Bearish
UVXY days,Bearish
RNN happy new year RNN future winners,Bullish
SPY Bears showing coal like its diamondswrong diamndsThnxnuthin Santa I bearish momentsBUT SPY Kicked A Period,Bullish
IBIO HNY,Bullish
UGAZ Global glut Lng projects cancel United States Technology awesome They even trigger earthquakes Lol,Bearish
SPY shhhhh dont tell anyone late janfeb dropgapsamprip ups comingSanta got GoPro crystal Ballit seize fUcher,Bullish
KNDI I find interesting CNBC interview right gets going,Bullish
UGAZ Obama administration even approving oil exports Thats good extracting oil ngsurplus huge Buy dgaz,Bearish
RSH AAPL Apple buy Radioshack start pushing entire line products,Bullish
UGAZ last year easy figure Just track weather easy play Now even weather helps,Bearish
SLCA EMES HCLP quotDemand For Frac Sand Still Strong Despite Drop In Oil Prices Producers Sayquot httpstkscoeRGx,Bullish
IBIO Theyll eat garbage rest days Could even take A pathetic bunch looser like Shicitzo,Bullish
DividendTwit SDTrader BP I big guy Dollar cost averaging loving life When oil rebounds laughing,Bullish
UGAZ Bears still,Bullish
BABA last perspective year Currently consolidating Maintaining LT bullish stance BABAZILLA BTMFD httpstkscotDqT,Bullish
ARIA Happy New Year longs shorts Wishing better,Bullish
EOX Im gonna touch stock around Late Jan Feb,Bearish
TWTR Gotta better Still profitable near,Bullish
TWENTY get ready RAIL CAR COMEBACK TRN GBX ARII Strattonite,Bullish
UGAZ I guess MM wants kill ng Many reasons Dgaz play since weather factor anymore Right Lng projects cancel,Bearish
TWENTY BABA eat shorts lunch gt consolidationdip JanFeb road BABAZILLA httpstkscopEn,Bullish
HLF Does anyone actually believe Ackman tells truth HLF quotBill Ackman Says Herbalifes Business Is Decliningquot,Bullish
UGAZ MM publicly stating want ng go I think serious,Bearish
FB Here Top Branded Instagram Videos httpstkscoeRH WhatsApp amp Instagram huge growth httpstkscohVB,Bullish
DGAZ,Bullish
PLUG power FB page picture birthday cakes slices andy trying tell us something wasnt,Bullish
RSH WOW even LOOKED httpstkscoaRw,Bullish
JDST quotmilliondollarsThe last time miners held steadyquotquotdespite gold silver faded lower laterquot,Bullish
GALE bullish Interesting holding p shares,Bullish
quotlcc BABA last perspective year Currently consolidating Maintaining LT bullish stancehttpstkscotDqTquot,Bullish
RSH httpstkscohVBC,Bullish
TWENTY Plenty cyber companies come focus Here two potential LT cyber plays FEYE LOCK httpstkscopEs,Bullish
VIX Strong SPX DIA QQQ bearish triangles forming MOMO indicators hard use last month httpstkscohVBD,Bearish
PAL,Bullish
TWTR prime candidate takeover many big players showing interest expand social mediacould play well,Bullish
DJIA ADX minus DI crossed plus DISlow Stochastic bought territory More details httpstkscogVD,Bearish
DWTI This mil bet on ask oil going even didnt go unnoticed last hour today httpstkscojVr,Bullish
SPX ADX minus DI crossed plus DI Values Slow Stochastic bought Details httpstkscopEu,Bearish
DDD beat still industry poised growth next yearsLong position mids good,Bullish
KNDI Ben R tool Happy new year good luck KNDI investment next year,Bullish
ARWR could trigger short squeeze big volume comes fridaylove chart upside move httpstkscoeRH,Bullish
COMPQ Slow Stochastic boughtADX minus DI crossed plus DI Values More httpstkscojVt,Bearish
FB looks handle cup,Bullish
LOCO Whenever truly bottoms great investment may double However trying call bottom anyones guess,Bullish
SHLX soaring,Bullish
STUDY Beware stocks continually disappoint downtrending Ex CYBR MBLY MNKD RWLK SCTY LOCO JMEI GPRO GLUU EYES SWHC,Bearish
AAPL Chaikin Money Flow stock Strong Selling pressure CMF Details httpstkscojVu,Bearish
FB Details httpstkscoiUu,Bearish
ANET Ciscos john chambers boot neck lawsuit,Bearish
TWENTY Fox amp Small Business Folk realize Obama cant elected rd time amp rejoice get bullish America SPLS,Bullish
MIK Showing good relative strength day moving average httpstkscofVBn,Bullish
AAPL Weekly Cup n handle target When July timestamped httpstkscocRB,Bullish
YHOO Tax news could come anytime,Bullish
Not surprising IV rising We still trend though Im looking bullish income trades SPX httpstkscobRAw,Bullish
quotSL The hottest IPOs KITE TUBE GPRO ETC httpstkscodRquot,Bullish
Strong despite market action today also TUBE quotupsidetrader KITE area top channel breaking flag httpstkscocRBquot,Bullish
WDC Long since  need I say more,Bullish
GLUU anyone think mobile gaming lousy business Show company space whos stock kicking butt,Bearish
FB httpstkscodR quot global growth percent It projects percent growth US next yearquot FB buy point,Bullish
FB Expect Market continue its march higher Let bears make hand weak hesitate lose,Bullish
UGAZ Mark words Ugaz s end Feb Or mids march Uncle nasa doesnt lie weather changes hours cold air pressure wild,Bullish
AAPL iWatch going steamroll Samsung They lost couldnt copy Apple released bum gadget fail,Bullish
FB What company stands gain growing global economy FB More money AD spent FB get,Bullish
BCRX sales basically bonus start business thats reward plenty involvement,Bullish
KNDI Will see soon,Bullish
AAPL Apple outperform GoogleIn timestamped gprimpEnterprises,Bullish
stocktwits make inov page They cloud based data analytics company healthcare industry ims data bnft cslt,Bullish
AAPL Colin Gillis bum Fade,Bearish
VIX I mean I know bit abt animal avg CMT even I didnt see pt move coming SPX decline SPY,Bearish
inov IPO hot cloud based data analytics healthcare industry Similar veev ims bnft hqy,Bullish
GILD Best performing stock sector lowest PE Really get easier investor,Bullish
UGAZ bot really thought would low day looking scalp friday unless magic happens,Bullish
BBRY Kofi nonsense BS SA must desperate,Bullish
Going ADMA CYTR IDRA ALXN MHR NPSP RMTI STML ISR LPCN VIPS DARA MSTX TTOO,Bullish
CPRX Way overweight Will lighten position tomorrow almost half since news Selling break even slightly positive positions,Bullish
CPRX Will remain largest position Keeping shares,Bullish
NZDUSD Time BreakEven If shorted pair Price reached extension expected If trade httpstkscosDZO,Bearish
DomLuminous puts I sell V naked puts,Bullish
DSKY DSKY banner monster,Bullish
HAPPY NEW YEAR TO ALL I want Millionaire BAA PAL JCP OIBR APP DUST NUGT httpstkscorDsp,Bullish
GILD Wednesdays shorts httpstkscoaRC,Bullish
SLV even nastier looking GLD,Bearish
PLUG happy newyear friends big things happening us godbless watching Elton john singing still standing,Bullish
PLUG still standing yeah yeah yeah,Bullish
AAPL Viernes Friday Paraskevi Greek,Bullish
ARIA Happy New Year everyone,Bullish