tweet,stated_sentiment,vader_analysis_compound,vader_analysis_neg,vader_analysis_neu,vader_analysis_pos
CVEO Extremely bearish one,Bearish,0.0,0.0,1.0,0.0
FB The Gordon Ghetto Show Rolls Card Stay tuned Gordon Gekko Bounce Instagram M plus Oculus China Exp,Bullish,0.0,0.0,1.0,0.0
CUR BCLI looking like juicy buy going Monday,Bullish,0.3612,0.0,0.737,0.263
UGAZ httpstkscodRC,Bullish,0.0,0.0,1.0,0.0
TWTR Happy New Years all,Bullish,0.5719,0.0,0.519,0.481
VSLR This company growing fast Jumped ENPH gobbled baby Sit buy dips yah know it,Bullish,0.1779,0.0,0.892,0.108
Its time year Top Picks WEFca PHMca amp DAPuca,Bullish,0.2023,0.0,0.816,0.184
FB ER beat good guidance earnings beat bad guidance,Bullish,-0.1531,0.261,0.522,0.216
GPRE Anyone catch K Mar C block trade M value,Bullish,-0.128,0.282,0.485,0.233
Top picks pretty good last year WEFca CPHca amp AYAca Lets hope years batch well,Bullish,0.8979,0.0,0.437,0.563
UGAZ Reversal isnt even close yet Ill let know,Bearish,-0.4215,0.259,0.741,0.0
WHZ Hoping stays low I put IRA come,Bullish,0.1779,0.212,0.505,0.283
CNBC Top trades FastMoney TIF AAPL TGT TWTR BIDU WYNN IBM EOG APC httpstkscoaR httpstkscojVy,Bullish,0.2023,0.0,0.886,0.114
FB Inflection point breached Still uptrend We Ghetto Trade show Stay tuned Gekko Trade show mil sell,Bullish,0.0,0.0,1.0,0.0
UGAZ If think going week idiot,Bearish,-0.5106,0.398,0.602,0.0
UGAZ Still longs way go reversal,Bearish,0.0,0.0,1.0,0.0
FB million volume today heavy selling held level Gekko Trade show going Bounce next week,Bullish,0.0,0.0,1.0,0.0
AAPL ARWR TSLA BABA Wish everyone happy new year keep counting fast money,Bullish,0.7506,0.0,0.632,0.368
PAL Have A Happy Healthy Wealthy Green New Year including TAR,Bullish,0.836,0.0,0.44,0.56
Dear STWIT Dream big See real Stick Finding next httpstkscobRu Happy,Bullish,0.8074,0.0,0.491,0.509
UGAZ Should open ,Bearish,0.0,0.0,1.0,0.0
AAPL Met hedge fund manager DC today playing ball said AAPL favorite opportunity He liked options play,Bullish,0.8957,0.0,0.484,0.516
FB Inside days happen retraction happens sadly bears oversold hand bears gun Watch hard boun,Bullish,-0.34,0.317,0.529,0.154
GLUU Can ever bad market day Everyone doesnt need freak goes day lot stocks,Bullish,-0.2718,0.195,0.67,0.134
GRPN Happy trails Im good sides fence THAT investortrader fence,Bullish,0.765,0.0,0.548,0.452
FB Instagram million growing Expansion China NFL AD Rev FB Search So what REVENUE Generation thats,Bullish,0.1779,0.0,0.898,0.102
Top searched stocks AAPL FB BABA TSLA BAC GOOG INTC GE TWTR AMZN httpstkscobRy httpstkscocRAV,Bullish,0.2023,0.0,0.886,0.114
SPY DIA COMPQ best luck traders,Bullish,0.802,0.0,0.357,0.643
UWTI In Gas Station Spring drink water G gasoline G,Bullish,0.0,0.0,1.0,0.0
stephanjk The USDX UUP price targets Youre spewing typical gold bug nonsense httpstkscoeRGD,Bullish,-0.4019,0.184,0.816,0.0
ZNGA BCLI release phase Monday Jan It blow ya face upside potential one day,Bullish,0.0,0.0,1.0,0.0
SPY IWM QQQ New Years resolution follow Winners STshad decent yearbut could much betterHappy NY,Bullish,0.4767,0.0,0.819,0.181
UVXY Buy puts,Bearish,0.0,0.0,1.0,0.0
quotWallStJesus IWM btw snuck bell looks like buyer Feb puts quotThey burned k,Bullish,0.3612,0.0,0.815,0.185
article July quot AirWatch recently teamed Sonyquot httpstkscojV I bet wish would chosen bbry,Bullish,0.4019,0.0,0.816,0.184
IBIO amp MNGA close penny other What going on,Bullish,0.0,0.0,1.0,0.0
VIPS Property overhanging In China benefit money flow stocks according David fast money,Bullish,0.4588,0.0,0.8,0.2
WarEagleStox War Eagle Youd think us Auburn engineers would smarter invest crappy stocks like NQ,Bullish,-0.4588,0.312,0.458,0.229
Take BULL horns let RIDE Happy New Year TimesSquare SBUX PCLN SPY httpstkscotDpy httpstkscotDpz,Bullish,0.5719,0.0,0.778,0.222
AAPL happy new year fellow longs January make us happy And February plain silly Cheers folks,Bullish,0.891,0.0,0.508,0.492
Swing Buy Picks AMAT CME ELX KMX LNKD NOC ORCL PAY PNC POTCA RMD httpstkscojVD,Bullish,-0.2808,0.132,0.868,0.0
Swing Sell Picks FMCA PCA REN httpstkscogVZ,Bearish,0.0,0.0,1.0,0.0
WFM holding Jan putsOI around k,Bearish,0.0,0.0,1.0,0.0
THM Feel good picked couple thousand shares day,Bullish,0.6249,0.0,0.541,0.459
CVEO This going crash Friday,Bearish,-0.4019,0.403,0.597,0.0
KNDI The reason KNDI big China Happy New Year httpstkscodRZ,Bullish,0.5719,0.0,0.709,0.291
UGAZ Look lead storyhttpstkscoeRGL,Bullish,0.0,0.0,1.0,0.0
ARWR INO IDRA One stocks gain least x Your bet Best luck happy new year everyone,Bullish,0.936,0.0,0.435,0.565
StupidGains Hephaestus How think Jefferson marches likes born people clamor GLUU sale happen,Bullish,0.4215,0.0,0.811,0.189
USDJPY BEARISH NAT PATTERNQ httpstkscoeRGQ httpstkscobRAA,Bearish,0.0,0.0,1.0,0.0
AAPL So everyone ur money ready Friday BTFD LOAD UPPP,Bullish,0.3612,0.0,0.783,0.217
PLUG analyst ratings last days Median target upside View here httpstkscobRAB,Bullish,0.0,0.0,1.0,0.0
quotEuphoria RSH headed home new robot trunk RadioShack quot Stay robot amp forget pain RSH rest life,Bearish,-0.6369,0.257,0.743,0.0
Gbones Ur Great Trader amp solidify it UGAZ Timeframe powder flexible Well bank hard Bones,Bullish,0.7717,0.068,0.537,0.395
GCF GLD GDX GDXJ In opinion gold sitting long lower support A move imminent httpstkscofVBH,Bearish,0.128,0.13,0.71,0.16
IBIO ANV LAKE APT Happy New Year May bring love peace joy enormous brokerage account,Bullish,0.9451,0.0,0.42,0.58
BBEP LF CVEO FSLR SAFM EW CAMP COH KORS AMBA AVAV PACB Happy investing happy new year lets welcome new year gains,Bullish,0.9153,0.0,0.584,0.416
IMRS httpstkscoeRGY \xe2\x80\xa6will give newbies information company\xe2\x80\xa6good interview CEOwatch u time,Bullish,0.0,0.0,1.0,0.0
Prediction After yr s SBUX next stock following execution new initiatives Dont bet Schultz,Bullish,0.0,0.0,1.0,0.0
EGRX MGNX FMI SGEN ARRY want em,Bullish,0.0772,0.0,0.822,0.178
BBRY Team Canadann,Bullish,0.0,0.0,1.0,0.0
AAPL Just dropped phone fire Damn still works screen little messed,Bullish,-0.7357,0.474,0.526,0.0
SPX httpstkscogVg Wave cgt truncated th FAT CATS quotTIMEquot play next week httpstkscoqDhN,Bullish,0.34,0.0,0.833,0.167
Sliver SLV GLD GDX Do write sweet hype tweets notebook Theyre powerful,Bullish,0.7003,0.0,0.633,0.367
SLV Sliver You bullish,Bullish,0.0,0.0,1.0,0.0
Prediction quotPricing warsquotin biotech space doesnt prevent sector another great year IBB BIB GILD CELG REGN ISIS BIIB,Bullish,0.6157,0.051,0.756,0.194
Prediction Energy stocks oilampgas rebound leading sector upside oil back year end XLE BP SLB OXY,Bullish,0.2732,0.0,0.877,0.123
SLV GLD Sliver Thanks trade idea I bot March gold April silver calls,Bullish,0.4404,0.0,0.791,0.209
SGOC nice buyout aiming gap Friday morning,Bullish,0.4215,0.0,0.682,0.318
Prediction Not signing Kevin Durant doesnt prevent UA signing huge NBA star longterm sponsorship sneaker deal,Bullish,0.3018,0.062,0.806,0.132
NQ Let buyback begin How buy less When its,Bullish,0.0,0.0,1.0,0.0
ZGNX Make Break year guys would like see dip add shares Got faith,Bullish,0.7579,0.0,0.571,0.429
UGAZ natty saleand im gonna keep buying,Bullish,0.0,0.0,1.0,0.0
MNKD Been bear long however seems like its time buy pt Good luck happy new year,Bullish,0.9022,0.0,0.498,0.502
RXII Happy new year all,Bullish,0.5719,0.0,0.519,0.481
Investment Themes I continue like quickserve restaurants lower gas confident consumer huge tailwind PNRA BWLD CMG,Bullish,0.7003,0.104,0.519,0.377
SBUX,Bullish,0.0,0.0,1.0,0.0
Investment Themes Be selective exposure oilampgas sector BP SLB COP RDSA KMI OXY,Bullish,0.0,0.0,1.0,0.0
BABA go green Monday easily,Bullish,0.34,0.0,0.625,0.375
CVEO This going POP Friday,Bullish,0.0,0.0,1.0,0.0
RXII better show company updates like Retinoblastoma mac degeneration along new scar data,Bullish,0.6597,0.0,0.671,0.329
KKR httpstkscosDYu Big pay Walgreen,Bullish,-0.1027,0.259,0.741,0.0
Please dont exposed long positions going January Unless truly LT wont spooked selling SPY qqq IWM,Bearish,0.6621,0.0,0.669,0.331
Investment Themes The american consumer confident AAPL V PAY MA AXP UA M TJXC PVH GIII DIS,Bullish,0.2656,0.116,0.709,0.175
thrfty OleJoeClark FrothDog quite bit PLUG hits high pps I happy man complaints,Bullish,0.25,0.165,0.61,0.226
EYES Implant retina size grain salt explode like payperclicks No Trek Mt Everest peak day Ahh No,Bullish,-0.2263,0.211,0.67,0.12
UGAZ DGAZ Happy New Year NG traders httpstkscogVo,Bullish,0.5719,0.0,0.654,0.346
quotAlwaysNeedHelp TWTR Anyone else see bought GOOG YHOO quot,Bullish,0.0,0.0,1.0,0.0
RELION energy PLUG power company partners hoppecketoday largest manufacturer industrial batteries world,Bullish,0.2732,0.0,0.84,0.16
AAPL TSLA GILD CELG BABA SCTY RIG WFM BA HAPPY NEW YEAR ALL BULLS BEARS,Bullish,0.4939,0.082,0.714,0.203
UGAZ Get This isnt controlled govt Its strictly OVER PRODUCTION Weather means nothing NG going,Bearish,0.0,0.0,1.0,0.0
ACHN nicely AH looking breakout next week,Bullish,0.4404,0.0,0.674,0.326
crme long grenade news blows Should matter time blast Base proper Like Titos n diet ICETEA,Bullish,0.3818,0.0,0.783,0.217
CVEO def going Friday Our prediction software alerted users correctly similar stock BCLI today httpstkscoeRGf,Bullish,0.0,0.0,1.0,0.0
AAPL To military service members overseas may new year bring home safe loved ones Go AAPL,Bullish,0.7783,0.0,0.673,0.327
ZNGA Happy New Years strong zynga longs May year green,Bullish,0.7906,0.0,0.533,0.467
FSLR Shorting going long SCTY Going momentum strength,Bearish,0.4939,0.0,0.686,0.314
LGF Bought hope mistake GLL,Bullish,0.128,0.289,0.361,0.349
ZNGA When last time saw two zynga games top free games chart Pretty Damn long httpstkscosDZ,Bullish,0.6808,0.117,0.522,0.361
CSIQ This I talking folks httpstkscojVX,Bullish,0.0,0.0,1.0,0.0
SLB Closed bought puts Close confirms DT amp needs happen next days Im wrong amp close position,Bearish,-0.4767,0.162,0.838,0.0
GLD Happy new year degenerate compulsive gambler friends May gold shine FML,Bullish,0.7783,0.0,0.595,0.405
FEYE everyone looking invest cyber security Avoid crowd stay short year retail cheap gas,Bearish,0.0516,0.133,0.723,0.145
JBLU insider selling big deal Right new year Tax move imo,Bullish,0.0,0.0,1.0,0.0
AAPL Happy New Year Bulls That acct everyone since I know Bears really cheap Bulls,Bullish,0.5719,0.0,0.778,0.222
VA Happy New Year VA show us s,Bullish,0.5719,0.0,0.619,0.381
Freakin Bears always tryin pick fresh set aapl shares less grand,Bullish,0.7357,0.0,0.526,0.474
COOL time go,Bearish,0.4648,0.0,0.397,0.603
VHC Will rock HNY long timers,Bullish,0.0,0.0,1.0,0.0
CSIQ pick bldg Ontario httpstkscodRs,Bullish,0.0,0.0,1.0,0.0
CVEO Anyone wants slap friday I triple dog dare,Bullish,0.1531,0.0,0.814,0.186
quotSanvisor AAPL To military service members overseas may new year bring home safe loved ones Go AAPLquot,Bullish,0.7783,0.0,0.688,0.312
AAPL year TIm Cooks empire fall sorry TC cannot innovate need new CEO Apple,Bearish,-0.4456,0.247,0.753,0.0
UVXY days,Bearish,0.0,0.0,1.0,0.0
RNN happy new year RNN future winners,Bullish,0.7783,0.0,0.424,0.576
SPY Bears showing coal like its diamondswrong diamndsThnxnuthin Santa I bearish momentsBUT SPY Kicked A Period,Bullish,0.3612,0.0,0.839,0.161
IBIO HNY,Bullish,0.0,0.0,1.0,0.0
UGAZ Global glut Lng projects cancel United States Technology awesome They even trigger earthquakes Lol,Bearish,0.8271,0.088,0.485,0.427
SPY shhhhh dont tell anyone late janfeb dropgapsamprip ups comingSanta got GoPro crystal Ballit seize fUcher,Bullish,0.0,0.0,1.0,0.0
KNDI I find interesting CNBC interview right gets going,Bullish,0.4019,0.0,0.722,0.278
UGAZ Obama administration even approving oil exports Thats good extracting oil ngsurplus huge Buy dgaz,Bearish,0.6369,0.0,0.714,0.286
RSH AAPL Apple buy Radioshack start pushing entire line products,Bullish,0.0,0.0,1.0,0.0
UGAZ last year easy figure Just track weather easy play Now even weather helps,Bearish,0.8689,0.0,0.481,0.519
SLCA EMES HCLP quotDemand For Frac Sand Still Strong Despite Drop In Oil Prices Producers Sayquot httpstkscoeRGx,Bullish,0.296,0.103,0.735,0.162
IBIO Theyll eat garbage rest days Could even take A pathetic bunch looser like Shicitzo,Bullish,-0.296,0.203,0.659,0.137
DividendTwit SDTrader BP I big guy Dollar cost averaging loving life When oil rebounds laughing,Bullish,0.7964,0.0,0.628,0.372
UGAZ Bears still,Bullish,0.0,0.0,1.0,0.0
BABA last perspective year Currently consolidating Maintaining LT bullish stance BABAZILLA BTMFD httpstkscotDqT,Bullish,0.0,0.0,1.0,0.0
ARIA Happy New Year longs shorts Wishing better,Bullish,0.8176,0.0,0.37,0.63
EOX Im gonna touch stock around Late Jan Feb,Bearish,0.0,0.0,1.0,0.0
TWTR Gotta better Still profitable near,Bullish,0.7003,0.0,0.408,0.592
TWENTY get ready RAIL CAR COMEBACK TRN GBX ARII Strattonite,Bullish,0.3612,0.0,0.783,0.217
UGAZ I guess MM wants kill ng Many reasons Dgaz play since weather factor anymore Right Lng projects cancel,Bearish,-0.6486,0.278,0.622,0.1
TWENTY BABA eat shorts lunch gt consolidationdip JanFeb road BABAZILLA httpstkscopEn,Bullish,0.2732,0.0,0.826,0.174
HLF Does anyone actually believe Ackman tells truth HLF quotBill Ackman Says Herbalifes Business Is Decliningquot,Bullish,0.3182,0.0,0.867,0.133
UGAZ MM publicly stating want ng go I think serious,Bearish,0.0,0.135,0.729,0.135
FB Here Top Branded Instagram Videos httpstkscoeRH WhatsApp amp Instagram huge growth httpstkscohVB,Bullish,0.6908,0.0,0.599,0.401
DGAZ,Bullish,0.0,0.0,1.0,0.0
PLUG power FB page picture birthday cakes slices andy trying tell us something wasnt,Bullish,0.0,0.0,1.0,0.0
RSH WOW even LOOKED httpstkscoaRw,Bullish,0.6739,0.0,0.469,0.531
JDST quotmilliondollarsThe last time miners held steadyquotquotdespite gold silver faded lower laterquot,Bullish,-0.296,0.167,0.833,0.0
GALE bullish Interesting holding p shares,Bullish,0.5994,0.0,0.38,0.62
quotlcc BABA last perspective year Currently consolidating Maintaining LT bullish stancehttpstkscotDqTquot,Bullish,0.0,0.0,1.0,0.0
RSH httpstkscohVBC,Bullish,0.0,0.0,1.0,0.0
TWENTY Plenty cyber companies come focus Here two potential LT cyber plays FEYE LOCK httpstkscopEs,Bullish,0.25,0.0,0.875,0.125
VIX Strong SPX DIA QQQ bearish triangles forming MOMO indicators hard use last month httpstkscohVBD,Bearish,0.4404,0.079,0.734,0.186
PAL,Bullish,0.0,0.0,1.0,0.0
TWTR prime candidate takeover many big players showing interest expand social mediacould play well,Bullish,0.8316,0.0,0.505,0.495
DJIA ADX minus DI crossed plus DISlow Stochastic bought territory More details httpstkscogVD,Bearish,0.0,0.0,1.0,0.0
DWTI This mil bet on ask oil going even didnt go unnoticed last hour today httpstkscojVr,Bullish,0.0,0.0,1.0,0.0
SPX ADX minus DI crossed plus DI Values Slow Stochastic bought Details httpstkscopEu,Bearish,0.4019,0.0,0.816,0.184
DDD beat still industry poised growth next yearsLong position mids good,Bullish,0.7579,0.0,0.516,0.484
KNDI Ben R tool Happy new year good luck KNDI investment next year,Bullish,0.8625,0.0,0.484,0.516
ARWR could trigger short squeeze big volume comes fridaylove chart upside move httpstkscoeRH,Bullish,0.0,0.0,1.0,0.0
COMPQ Slow Stochastic boughtADX minus DI crossed plus DI Values More httpstkscojVt,Bearish,0.4019,0.0,0.803,0.197
FB looks handle cup,Bullish,0.0,0.0,1.0,0.0
LOCO Whenever truly bottoms great investment may double However trying call bottom anyones guess,Bullish,0.7906,0.0,0.632,0.368
SHLX soaring,Bullish,0.0,0.0,1.0,0.0
STUDY Beware stocks continually disappoint downtrending Ex CYBR MBLY MNKD RWLK SCTY LOCO JMEI GPRO GLUU EYES SWHC,Bearish,-0.4019,0.137,0.863,0.0
AAPL Chaikin Money Flow stock Strong Selling pressure CMF Details httpstkscojVu,Bearish,0.2732,0.152,0.621,0.228
FB Details httpstkscoiUu,Bearish,0.0,0.0,1.0,0.0
ANET Ciscos john chambers boot neck lawsuit,Bearish,-0.2263,0.241,0.759,0.0
TWENTY Fox amp Small Business Folk realize Obama cant elected rd time amp rejoice get bullish America SPLS,Bullish,0.4404,0.0,0.854,0.146
MIK Showing good relative strength day moving average httpstkscofVBn,Bullish,0.7269,0.0,0.534,0.466
AAPL Weekly Cup n handle target When July timestamped httpstkscocRB,Bullish,0.0,0.0,1.0,0.0
YHOO Tax news could come anytime,Bullish,0.0,0.0,1.0,0.0
Not surprising IV rising We still trend though Im looking bullish income trades SPX httpstkscobRAw,Bullish,0.2732,0.0,0.87,0.13
quotSL The hottest IPOs KITE TUBE GPRO ETC httpstkscodRquot,Bullish,0.0,0.0,1.0,0.0
Strong despite market action today also TUBE quotupsidetrader KITE area top channel breaking flag httpstkscocRBquot,Bullish,0.6249,0.0,0.718,0.282
WDC Long since  need I say more,Bullish,0.0,0.0,1.0,0.0
GLUU anyone think mobile gaming lousy business Show company space whos stock kicking butt,Bearish,-0.5423,0.212,0.788,0.0
FB httpstkscodR quot global growth percent It projects percent growth US next yearquot FB buy point,Bullish,0.6369,0.0,0.729,0.271
FB Expect Market continue its march higher Let bears make hand weak hesitate lose,Bullish,-0.5423,0.368,0.478,0.153
UGAZ Mark words Ugaz s end Feb Or mids march Uncle nasa doesnt lie weather changes hours cold air pressure wild,Bullish,-0.296,0.104,0.896,0.0
AAPL iWatch going steamroll Samsung They lost couldnt copy Apple released bum gadget fail,Bullish,-0.7003,0.326,0.674,0.0
FB What company stands gain growing global economy FB More money AD spent FB get,Bullish,0.6249,0.0,0.718,0.282
BCRX sales basically bonus start business thats reward plenty involvement,Bullish,0.802,0.0,0.526,0.474
KNDI Will see soon,Bullish,0.0,0.0,1.0,0.0
AAPL Apple outperform GoogleIn timestamped gprimpEnterprises,Bullish,0.0,0.0,1.0,0.0
stocktwits make inov page They cloud based data analytics company healthcare industry ims data bnft cslt,Bullish,0.0,0.0,1.0,0.0
AAPL Colin Gillis bum Fade,Bearish,0.0,0.0,1.0,0.0
VIX I mean I know bit abt animal avg CMT even I didnt see pt move coming SPX decline SPY,Bearish,0.0,0.0,1.0,0.0
inov IPO hot cloud based data analytics healthcare industry Similar veev ims bnft hqy,Bullish,0.0,0.0,1.0,0.0
GILD Best performing stock sector lowest PE Really get easier investor,Bullish,0.6887,0.145,0.447,0.407
UGAZ bot really thought would low day looking scalp friday unless magic happens,Bullish,-0.3321,0.165,0.835,0.0
BBRY Kofi nonsense BS SA must desperate,Bullish,-0.6124,0.5,0.5,0.0
Going ADMA CYTR IDRA ALXN MHR NPSP RMTI STML ISR LPCN VIPS DARA MSTX TTOO,Bullish,0.0,0.0,1.0,0.0
CPRX Way overweight Will lighten position tomorrow almost half since news Selling break even slightly positive positions,Bullish,0.204,0.12,0.721,0.159
CPRX Will remain largest position Keeping shares,Bullish,0.296,0.0,0.732,0.268
NZDUSD Time BreakEven If shorted pair Price reached extension expected If trade httpstkscosDZO,Bearish,0.1027,0.0,0.896,0.104
DomLuminous puts I sell V naked puts,Bullish,0.0,0.0,1.0,0.0
DSKY DSKY banner monster,Bullish,0.0,0.0,1.0,0.0
HAPPY NEW YEAR TO ALL I want Millionaire BAA PAL JCP OIBR APP DUST NUGT httpstkscorDsp,Bullish,0.694,0.0,0.694,0.306
GILD Wednesdays shorts httpstkscoaRC,Bullish,0.0,0.0,1.0,0.0
SLV even nastier looking GLD,Bearish,-0.5106,0.452,0.548,0.0
PLUG happy newyear friends big things happening us godbless watching Elton john singing still standing,Bullish,0.7783,0.0,0.657,0.343
PLUG still standing yeah yeah yeah,Bullish,0.6808,0.0,0.312,0.688
AAPL Viernes Friday Paraskevi Greek,Bullish,0.0,0.0,1.0,0.0
ARIA Happy New Year everyone,Bullish,0.5719,0.0,0.519,0.481
